,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability.Status,,,,,,Mental.Health,,,,,,,,COVID.Vaccine.and.Long.COVID,,,,,,Society.and.Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health.Insurance,,Food.Security,,,,,,Internet.Security,,,,,,
SCRAM,EST_ST,EST_MSA,REGION,TBIRTH_YEAR,RHISPANIC,RRACE,EEDUC,MS,EGENID_BIRTH,SEXUAL_ORIENTATION_RV,THHLD_NUMPER,THHLD_NUMKID,TENROLLPUB,TENROLLPRV,TENROLLHMSCH,INCOME,WRKLOSSRV,ANYWORK,KINDWORK,RSNNOWRKRV,TWDAYS,TWDAYS_RESP,SEEING,HEARING,MOBILITY,REMEMBERING,SELFCARE,UNDERSTAND,ANXIOUS,WORRY,INTEREST,DOWN,MHLTH_NEED,MHLTH_GET,MHLTH_SATISFD,MHLTH_DIFFCLT,RECVDVACC,RVACCDATE,HADCOVIDRV,SYMPTOMS,LONGCOVID,SYMPTMIMPCT,SOCIAL1,SOCIAL2,SUPPORT1,SUPPORT2,SUPPORT3,SUPPORT4_RV,LIVENTERTAINMENT,ARTEXHIBIT,MOVIES,PARTINARTS,CHILDCARE,CHILDCARE_RSLT1,CHILDCARE_RSLT2,CHILDCARE_RSLT3,CHILDCARE_RSLT4,CHILDCARE_RSLT5,CHILDCARE_RSLT6,CHILDCARE_RSLT7,TENURE,LIVQTRRV,RENTCHNG,RENTCUR,MORTCUR,ENERGY,PRIVHLTH,PUBHLTH,EXPNS_DIF,CURFOODSUF,FREEFOOD,FDBENEFIT1,FDBENEFIT2,FDBENEFIT3,HOME_INTERNET,MOBILE_INTERNET,REDUCED_INT1,REDUCED_INT2,REDUCED_INT3,REDUCED_INT4,CANCEL_INTERNET
P090004167,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1996,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,7,1,2,6,6,3,4,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,4,2,2,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,4,1,3,4,1,3,3,1,2,2,2,2,1,1,2,2,2,2,5
P090004169,South Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1943,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,2,2,1,2,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,2,1,2,3,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004182,Illinois,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,2002,Yes,White,Some college (but degree not received or is in progress),5,2,2,3,0,0,0,0,3,2,2,6,1,4,4,1,1,1,2,2,1,2,1,2,2,4,4,4,6,1,3,2,5,5,5,2,4,1,1,4,1,1,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,1,2,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090004184,South Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1948,No,White,Bachelor's degree,2,2,2,2,0,0,0,0,2,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,3,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,1,3,1,3,4,1,1,2,2,1,2,2,2,1,1,2,2,2,2,5
P090004189,New Hampshire,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1963,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,8,2,1,2,10,3,3,2,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,2,4,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004190,South Dakota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1974,No,White,Some college (but degree not received or is in progress),5,1,2,1,0,0,0,0,6,2,1,4,10,1,1,1,1,1,1,1,1,3,1,1,1,4,4,4,6,1,3,2,5,5,5,4,4,2,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004191,New Jersey,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1974,No,White,Graduate degree,3,1,2,4,3,2,1,0,4,2,1,4,10,2,2,1,1,2,1,2,1,2,2,2,2,2,1,2,2,1,3,2,5,5,5,4,2,3,2,1,5,1,2,1,3,2,2,2,2,2,2,2,2,3,3,1,1,3,1,1,3,3,2,2,2,2,2,1,1,2,2,2,2,5
P090004193,Indiana,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1960,No,White,Bachelor's degree,1,1,2,2,0,0,0,0,2,2,2,6,4,3,4,2,1,3,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,1,1,1,2,1,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,3,1,2,2,2,2,2,2,1,1,2,2,2,2,5
P090004194,Mississippi,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1948,No,White,High school graduate or equivalent,2,2,2,1,0,0,0,0,2,2,2,6,5,4,4,1,2,2,2,1,1,2,3,1,2,4,4,4,6,1,3,2,5,5,5,2,2,4,2,4,5,1,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,4,2,2,2,2,2,1,1,2,2,2,2,5
P090004198,Michigan,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1949,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,8,2,2,6,9,4,4,1,1,1,1,1,1,2,1,1,2,4,4,4,6,1,3,2,5,5,5,2,1,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004199,Kentucky,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1953,No,White,Some high school,1,2,2,2,0,0,0,0,2,2,2,6,9,1,4,2,1,1,2,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,5,5,2,4,4,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004202,New Jersey,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1964,No,White,Some college (but degree not received or is in progress),1,2,2,5,2,2,0,0,4,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,1,2,3,2,1,4,4,3,2,3,1,1,2,1,2,2,2,2,2,2,2,2,2,2,7,3,1,3,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090004203,Utah,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1993,No,White,Bachelor's degree,1,2,2,5,3,1,0,0,6,2,2,6,2,3,4,1,1,1,2,1,1,1,1,1,1,3,5,5,7,1,2,2,5,5,5,1,4,3,2,4,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004208,Illinois,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1990,No,Black,Some college (but degree not received or is in progress),5,1,2,1,0,0,0,0,1,2,2,6,9,4,4,2,2,1,1,1,1,3,1,2,2,4,4,4,6,2,4,1,4,3,2,3,2,3,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,5,4,1,3,1,1,1,4,3,2,2,2,2,1,1,2,2,2,2,5
P090004215,Minnesota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1997,No,White,Some college (but degree not received or is in progress),5,1,2,1,0,0,0,0,2,1,2,6,9,4,4,1,1,1,1,1,1,3,2,3,2,4,4,4,6,2,4,2,5,5,5,1,1,4,1,4,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,1,2,1,4,2,2,2,2,2,1,1,2,2,2,2,5
P090004221,West Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1958,No,White,Graduate degree,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,2,3,1,4,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004225,South Carolina,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1964,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,2,2,2,6,4,4,4,2,2,2,2,2,2,2,2,2,1,4,4,4,6,1,2,2,5,5,5,4,3,2,2,1,1,2,2,2,1,3,3,3,3,3,3,3,3,4,7,7,3,3,4,1,1,3,3,2,2,2,2,1,2,2,2,2,2,5
P090004240,Utah,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1965,Yes,White,Associate's degree,1,1,2,4,0,0,0,0,2,2,1,2,10,2,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,2,2,4,5,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090004246,Massachusetts,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1993,No,Black,Graduate degree,5,1,2,3,0,0,0,0,6,2,1,2,10,2,2,1,1,1,1,3,1,4,4,3,2,4,4,4,6,1,1,2,5,5,5,3,4,1,2,1,4,1,1,1,3,3,3,3,3,3,3,3,3,3,6,6,1,3,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004252,Alabama,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1957,Yes,Black,Associate's degree,1,2,2,3,0,0,0,0,6,2,2,6,4,3,4,1,1,3,1,2,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,5,4,4,1,1,3,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004254,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1959,No,White,Graduate degree,5,1,4,1,0,0,0,0,6,2,2,6,5,4,4,1,1,2,1,1,1,2,2,1,2,4,4,4,6,1,2,2,5,5,5,4,4,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004264,Illinois,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1958,No,Black,Some college (but degree not received or is in progress),5,2,2,1,0,0,0,0,1,2,2,6,2,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,2,4,4,2,2,2,1,3,3,3,3,3,3,3,3,3,6,4,1,3,4,2,1,3,2,2,2,2,2,1,1,1,2,2,2,1
P090004266,Colorado,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1968,No,White,Graduate degree,5,2,2,1,0,0,0,0,6,2,1,2,10,3,3,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,2,3,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,6,4,1,3,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090004271,Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1973,No,White,Graduate degree,5,2,2,2,0,0,0,0,2,2,1,4,10,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,6,1,1,2,5,5,5,2,5,3,2,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,6,3,1,3,3,2,1,2,1,2,2,2,2,1,2,1,1,1,2,3
P090004273,New York,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1988,No,White,Bachelor's degree,5,1,2,2,0,0,0,0,8,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,2,2,1,4,2,2,1,3,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004275,Maryland,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1946,No,White,High school graduate or equivalent,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004279,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1947,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,8,2,1,5,10,2,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,4,1,4,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004284,Florida,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1955,No,White,Graduate degree,2,1,2,1,0,0,0,0,5,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,5,3,3,3,4,5,1,2,2,2,3,3,3,3,3,3,3,3,1,3,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004288,Alaska,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1985,No,White,Bachelor's degree,1,1,2,7,5,3,0,0,7,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,1,5,2,1,4,5,2,2,1,1,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004296,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,2,2,1,1,4,4,4,6,1,1,1,2,3,1,1,5,3,3,1,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004301,Maryland,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1951,No,Black,Some college (but degree not received or is in progress),5,2,2,1,0,0,0,0,5,2,2,6,5,4,4,2,1,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,2,3,1,2,2,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,3,2,1,2,2,2,2,1,1,2,2,2,1,3
P090004302,Indiana,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1957,No,White,Some college (but degree not received or is in progress),3,2,2,1,0,0,0,0,1,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,3,4,4,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090004304,South Dakota,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1966,No,White,Some college (but degree not received or is in progress),5,2,2,1,0,0,0,0,4,2,2,6,9,4,4,2,1,1,1,1,1,2,3,2,2,4,4,4,6,1,1,2,5,5,5,1,4,1,4,2,5,2,2,1,4,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004305,Colorado,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1944,No,White,High school graduate or equivalent,2,2,2,1,0,0,0,0,4,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,3,7,3,4,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090004306,Washington,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1980,No,White,Some college (but degree not received or is in progress),3,2,2,1,0,0,0,0,1,2,2,6,9,4,4,1,1,1,2,1,1,4,2,4,4,4,4,4,6,1,2,2,5,5,5,4,1,1,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,1,3,7,3,4,4,2,1,4,1,2,1,2,2,1,1,2,2,2,2,5
P090004311,Pennsylvania,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1949,Yes,White,Less than high school,2,2,2,2,0,0,0,0,1,2,2,6,5,4,4,1,1,2,1,1,1,1,2,2,1,4,4,4,6,1,1,2,5,5,5,1,5,4,1,4,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,3,2,2,1,2,2,2,1,2,2,2,2,5
P090004322,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1947,No,White,Some college (but degree not received or is in progress),1,1,2,10,0,0,0,0,2,2,2,6,5,4,4,2,1,2,1,1,1,3,3,4,3,4,4,4,6,1,1,2,5,5,5,4,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,3,2,1,4,2,2,2,2,2,1,1,2,2,2,2,5
P090004328,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1996,No,White,Graduate degree,5,1,3,1,0,0,0,0,5,2,1,2,10,3,3,1,1,1,2,2,2,2,1,4,2,4,4,4,6,1,1,2,5,5,5,3,3,3,2,1,5,2,1,2,2,3,3,3,3,3,3,3,3,3,6,5,1,3,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004329,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1954,No,White,Graduate degree,1,1,2,2,0,0,0,0,7,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,5,4,3,1,2,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004330,California,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1974,No,White,Bachelor's degree,5,1,1,1,0,0,0,0,1,2,1,2,10,2,2,2,1,1,1,1,1,3,2,2,2,4,4,4,6,1,1,2,5,5,5,5,1,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,1,1,3,4,2,1,4,2,2,2,2,2,1,1,2,2,2,2,5
P090004348,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1988,No,White,High school graduate or equivalent,1,2,2,4,2,1,0,0,1,2,2,6,2,4,4,1,1,1,2,1,1,1,2,1,1,3,5,5,7,2,4,2,5,5,5,4,3,1,1,2,1,2,2,2,3,2,2,2,2,2,2,2,2,3,2,3,1,3,4,1,2,2,2,2,2,2,2,3,1,2,2,2,2,5
P090004355,New Hampshire,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1950,No,White,Graduate degree,1,2,2,2,0,0,0,0,6,2,1,3,10,1,1,1,2,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,1,4,5,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004357,Idaho,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1966,No,White,High school graduate or equivalent,4,2,2,2,0,0,0,0,1,1,2,6,7,4,4,2,2,1,2,1,1,3,2,4,4,4,4,4,6,2,4,2,5,5,5,3,4,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,2,1,2,3,2,2,2,4,4,2,2,2,2,2,1,2,2,2,2,5
P090004363,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1963,No,White,High school graduate or equivalent,3,2,2,5,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,2,1,2,2,2,2,4,4,4,6,2,4,2,5,5,5,4,2,1,4,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,2,2,1,2,2,2,1,2,2,1,1,2,2,2,2,5
P090004371,West Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1951,No,White,High school graduate or equivalent,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,4,2,4,1,2,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,1,1,3,3,1,1,2,2,2,1,1,2,2,2,2,5
P090004384,Utah,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1977,No,White,Some college (but degree not received or is in progress),1,1,2,5,3,3,0,0,3,2,2,6,2,1,4,1,1,3,1,1,1,1,2,1,1,3,5,5,7,1,1,2,5,5,5,2,4,2,1,1,4,2,2,2,3,1,1,2,1,1,2,2,1,2,2,7,3,1,4,1,1,2,2,2,2,2,2,1,1,2,2,2,1,3
P090004387,Kansas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1964,No,White,Bachelor's degree,3,2,2,3,0,0,0,0,7,2,1,2,10,3,3,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,3,4,1,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,2,2,2,2,2,1,2,2,2,2,2,5
P090004392,Kentucky,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1976,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,5,1,2,6,4,4,4,1,1,1,3,1,3,4,4,4,4,4,4,4,6,1,3,1,3,3,2,4,2,1,1,1,2,2,2,2,4,3,3,3,3,3,3,3,3,1,2,7,3,4,1,1,3,4,4,2,2,2,2,1,1,2,2,2,2,5
P090004397,New Mexico,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1957,No,White,Bachelor's degree,2,2,2,6,3,3,0,0,1,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,3,2,5,5,5,5,4,4,4,4,5,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,3,1,2,1,2,2,2,1,1,1,2,2,2,2,5
P090004404,Oregon,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1982,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,6,2,1,2,10,3,2,1,1,1,1,1,1,3,2,1,2,4,4,4,6,1,1,1,4,1,2,3,3,2,1,1,4,2,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,2,4,4,2,2,2,2,1,1,2,2,2,2,5
P090004406,New Hampshire,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1993,No,White,Bachelor's degree,5,1,2,2,0,0,0,0,3,1,2,6,9,2,4,1,1,1,1,2,1,4,4,3,4,4,4,4,6,1,3,1,2,3,1,5,3,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,2,2,2,1,4,4,2,2,2,2,1,1,2,2,2,2,5
P090004407,Kentucky,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1984,No,White,Bachelor's degree,3,2,2,2,0,0,0,0,5,2,1,3,10,3,4,1,1,1,1,1,1,3,2,2,1,4,4,4,6,1,3,1,4,2,1,3,3,4,1,1,1,2,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090004416,Missouri,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,2000,No,Other,Graduate degree,5,2,4,1,0,0,0,0,1,2,2,6,9,4,4,1,1,2,2,2,2,4,4,3,2,4,4,4,6,1,3,2,5,5,5,4,1,2,2,1,4,2,2,2,4,3,3,3,3,3,3,3,3,3,5,4,1,3,2,3,3,3,2,2,2,2,2,1,1,1,2,2,2,4
P090004417,Vermont,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1955,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,5,4,2,1,5,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004418,Wisconsin,New York-Newark-Jersey City, NY-NJ-PA Metro Area,Midwest,1953,No,White,Associate's degree,1,2,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,2,1,1,2,2,1,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090004420,Georgia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1961,No,White,Some college (but degree not received or is in progress),1,1,2,2,0,0,0,0,1,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090004430,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1958,No,White,Some college (but degree not received or is in progress),3,2,2,2,0,0,0,0,1,2,2,6,9,4,4,2,3,2,1,1,1,4,3,2,3,4,4,4,6,1,1,2,5,5,5,2,3,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,2,2,2,1,2,2,1,1,2,2,2,2,5
P090004433,Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1955,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,4,2,4,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004438,Oregon,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1951,No,White,High school graduate or equivalent,5,2,2,3,2,2,0,0,1,2,2,6,5,4,4,1,2,2,1,1,1,2,1,1,2,1,1,2,2,1,3,2,5,5,5,2,4,3,2,1,3,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,1,3,2,2,1,2,1,1,1,2,2,2,2,5
P090004450,Washington,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1952,No,White,Associate's degree,5,2,1,2,0,0,0,0,3,2,2,6,5,4,4,2,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,1,3,1,3,2,4,4,2,1,1,2,2,1,2,3,3,3,3,3,3,3,3,1,4,7,3,4,4,1,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090004451,Tennessee,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1943,No,White,Bachelor's degree,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,2,2,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,3,4,5,2,1,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004455,Texas,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1969,Yes,White,Graduate degree,1,1,2,1,0,0,0,0,7,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,1,4,1,1,1,1,1,1,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090004457,West Virginia,New York-Newark-Jersey City, NY-NJ-PA Metro Area,West,1959,No,White,Some college (but degree not received or is in progress),2,1,2,1,0,0,0,0,1,2,2,6,5,4,4,1,2,1,3,1,2,3,3,4,2,4,4,4,6,1,1,2,5,5,5,4,2,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,1,2,1,3,3,2,2,2,2,2,1,2,2,2,2,5
