,Demographics,,,,,,,,,,,,,,,,Employment,,,,,,Disability Status,,,,,,Mental Health,,,,,,,,COVID Vaccine and Long COVID,,,,,,Society and Arts,,,,,,,,,,Childcare,,,,,,,,Housing,,,,,,Health Insurance,,Food Security,,,,,,Internet Security,,,,,,
P090009302,12,33100,,1966,1,1,6,3,2,2,1,0,0,0,0,7,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,1,4,1,2,1,1,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009312,28,,,1994,1,1,4,1,1,4,1,0,0,0,0,2,1,2,6,9,4,4,1,1,1,3,2,2,4,4,4,4,4,4,4,6,1,3,2,5,5,5,4,1,1,2,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,5,1,1,3,2,1,2,4,4,2,2,2,2,1,1,2,2,2,2,5
P090009317,49,,,1967,1,1,5,1,2,2,3,0,0,0,0,6,1,2,6,9,3,4,2,1,2,2,1,1,1,1,1,2,4,4,4,6,1,2,2,5,5,5,1,4,4,1,4,5,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090009328,54,,,1968,1,1,3,1,2,2,2,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,3,5,4,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,1,2,1,3,2,2,1,2,2,1,1,1,2,2,2,2
P090009331,6,41860,,1952,1,3,6,5,2,2,4,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,1,1,3,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009335,30,,,1940,1,1,6,1,2,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,2,2,1,1,2,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,3,4,3,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009337,26,19820,,1966,1,1,6,5,1,1,1,0,0,0,0,1,2,1,4,10,2,2,2,1,1,1,1,1,2,1,1,1,4,4,4,6,2,4,2,5,5,5,2,4,3,1,3,4,1,1,2,1,3,3,3,3,3,3,3,3,4,2,7,3,3,2,2,1,3,2,2,2,2,2,1,1,2,2,2,2,5
P090009343,12,,,1955,1,1,4,3,2,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,4,3,4,3,5,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009347,34,35620,,1986,1,3,7,1,1,2,3,1,1,0,0,8,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,3,2,5,5,5,2,5,4,4,4,5,2,2,1,2,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009349,17,,,1949,1,1,5,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,2,2,1,1,1,1,1,1,4,4,4,6,1,3,1,3,3,2,2,5,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009352,53,42660,,1957,1,1,7,3,1,2,1,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,7,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009353,12,33100,,1970,2,1,2,3,2,2,2,0,0,0,0,2,2,2,6,4,4,4,2,2,3,2,1,1,4,4,3,2,4,4,4,6,2,4,2,5,5,5,2,3,4,3,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,1,3,2,3,3,2,2,4,3,2,2,2,2,2,1,2,2,2,2,5
P090009357,15,,,1981,1,1,6,5,1,2,2,0,0,0,0,8,2,1,2,10,3,3,1,1,1,2,1,1,2,1,2,2,4,4,4,6,1,2,2,5,5,5,3,3,2,1,1,1,1,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009367,8,,,1975,1,1,6,1,2,2,3,1,1,0,0,8,2,1,4,10,2,1,2,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,1,4,4,2,4,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090009369,54,,,1942,1,1,7,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,2,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,2,1,2,1,1,2,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009370,21,,,1993,1,1,4,5,1,2,3,1,1,0,0,7,2,2,6,2,4,4,1,1,1,1,1,1,1,2,4,1,3,5,5,7,2,4,2,5,5,5,5,5,1,1,1,1,2,2,2,3,2,2,2,2,2,2,2,2,2,2,7,3,1,2,2,2,4,2,2,2,2,1,1,1,2,2,2,2,5
P090009377,18,,,1968,1,1,4,5,2,2,1,0,0,0,0,2,2,1,2,10,3,4,1,1,1,1,1,1,2,1,1,1,4,4,4,6,2,4,2,5,5,5,2,3,2,2,1,1,1,2,2,1,3,3,3,3,3,3,3,3,3,5,3,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009382,55,,,1996,1,1,6,5,1,2,1,0,0,0,0,7,2,1,2,10,1,1,1,1,1,1,1,1,2,2,1,1,4,4,4,6,1,2,2,5,5,5,3,4,1,2,1,5,2,2,2,2,3,3,3,3,3,3,3,3,3,6,3,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009383,6,40140,,1974,1,1,4,1,2,3,3,0,0,0,0,6,2,2,6,4,2,4,1,2,1,1,1,1,3,4,3,4,4,4,4,6,1,1,1,3,3,1,4,1,1,1,1,4,1,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,1,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009388,35,,,1978,1,1,4,1,2,2,2,0,0,0,0,6,2,1,5,10,3,3,2,1,1,1,2,1,2,1,3,2,4,4,4,6,1,3,2,5,5,5,4,2,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009391,28,,,1957,1,2,7,3,1,2,1,0,0,0,0,3,2,1,4,10,3,3,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,1,3,4,2,4,1,1,1,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,3,1,1,3,1,2,2,2,2,1,1,2,2,2,2,5
P090009400,37,,,1985,1,1,6,1,2,3,4,2,1,0,0,3,1,2,6,9,4,4,1,1,1,3,2,1,4,4,4,4,3,5,5,7,1,3,1,3,1,2,2,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,4,2,2,2,2,2,1,1,2,2,2,2,5
P090009407,26,,,1970,1,1,3,5,1,2,2,1,1,0,0,5,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,5,3,1,1,4,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,7,3,1,1,1,2,4,4,2,2,2,2,1,1,2,2,2,2,5
P090009414,11,47900,,1981,1,1,7,1,2,3,4,2,2,0,0,8,1,1,3,10,2,2,2,1,1,2,1,1,2,2,1,2,3,5,5,7,1,1,1,3,3,2,3,3,3,2,4,3,1,1,2,1,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009419,29,,,1985,1,3,7,1,1,1,2,0,0,0,0,6,2,1,3,10,3,3,1,1,1,1,1,1,1,1,2,1,4,4,4,6,1,1,2,5,5,5,2,3,4,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,1,3
P090009421,17,16980,,2000,2,4,7,5,1,3,2,0,0,0,0,6,2,1,3,10,3,3,1,1,1,2,1,1,4,2,2,2,4,4,4,6,1,3,2,5,5,5,1,4,4,2,1,3,1,1,2,1,3,3,3,3,3,3,3,3,3,5,3,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009427,48,,,1945,1,1,4,1,1,2,2,0,0,0,0,3,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009435,26,19820,,1957,1,1,4,1,2,2,3,0,0,0,0,4,2,2,6,5,4,4,1,1,3,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009437,45,,,1963,1,1,4,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,2,2,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009444,19,,,1958,1,1,3,1,1,2,2,0,0,0,0,1,2,2,6,4,4,4,1,1,4,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,3,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009446,30,,,1995,1,1,6,1,2,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,2,2,1,4,1,1,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009451,48,26420,,1950,1,1,4,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,2,2,2,1,1,1,1,1,1,1,4,4,4,6,1,1,1,2,3,2,1,5,2,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009458,20,,,1962,1,1,7,2,2,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,2,3,2,3,4,5,2,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,3,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009459,8,,,1955,1,1,6,3,2,2,2,0,0,0,0,5,2,1,1,10,3,3,1,1,2,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,4,4,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009461,13,,,1952,1,1,7,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,2,2,2,2,1,1,2,1,2,1,4,4,4,6,1,1,2,5,5,5,3,3,4,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009465,46,,,1972,1,1,5,3,2,2,3,0,0,0,0,5,2,1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,3,3,3,1,4,4,1,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009469,47,,,1947,1,1,4,1,2,2,2,0,0,0,0,3,2,2,6,5,4,4,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,4,3,1,4,1,2,2,2,3,3,3,3,3,3,3,3,3,1,2,7,3,4,1,1,1,4,3,2,2,2,2,2,1,2,2,2,2,5
P090009470,33,,,1956,1,1,7,5,1,4,1,0,0,0,0,6,2,1,2,10,1,1,2,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,2,3,4,2,1,3,1,2,2,2,3,3,3,3,3,3,3,3,2,4,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009473,5,,,1942,1,1,6,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,1,4,5,2,1,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009477,5,,,1980,1,1,4,3,2,2,3,2,2,0,0,4,1,2,6,6,4,4,2,2,2,3,1,1,4,4,4,4,3,5,5,7,1,1,2,5,5,5,5,1,3,1,2,1,2,2,2,4,2,2,2,2,2,2,2,2,2,2,7,3,1,1,2,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090009486,12,33100,,1991,1,1,6,3,1,2,1,0,0,0,0,4,2,1,1,10,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,5,4,3,1,5,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090009488,40,,,1939,1,1,2,2,2,2,2,0,0,0,0,1,2,2,6,4,4,4,2,2,3,2,3,1,2,2,2,1,4,4,4,6,1,2,2,5,5,5,2,3,4,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,1,2,1,2,2,1,1,2,2,2,2,5
P090009499,34,35620,,1959,1,1,6,1,2,2,2,0,0,0,0,7,2,1,2,10,1,4,1,1,2,1,1,1,2,2,2,2,4,4,4,6,1,3,2,5,5,5,3,3,1,1,4,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,2,2,2,2,2,5
P090009502,49,,,1941,1,1,4,2,1,2,1,0,0,0,0,2,2,2,6,5,4,4,1,1,1,2,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,4,3,4,4,3,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009503,27,,,1950,1,1,3,1,2,2,2,0,0,0,0,5,2,2,6,5,4,4,2,1,2,2,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,4,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,3,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009506,16,,,1976,1,1,6,5,1,2,1,0,0,0,0,6,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,4,3,2,1,4,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009515,16,,,1978,1,1,1,1,2,2,4,2,2,0,0,8,2,1,4,10,3,3,1,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,1,5,4,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009518,17,16980,,1960,1,2,4,1,2,2,4,0,0,0,0,1,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,5,5,4,3,4,2,2,2,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,2,1,1,2,1,2,2,3,3,2,2,2,2,5
P090009521,25,14460,,1990,1,1,7,5,1,2,1,0,0,0,0,7,2,1,3,10,3,3,1,1,1,2,1,2,1,1,1,1,4,4,4,6,1,3,2,5,5,5,4,4,1,1,1,1,2,2,1,1,3,3,3,3,3,3,3,3,3,6,3,1,3,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009524,13,12060,,2004,1,1,4,5,1,2,2,0,0,0,0,1,1,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,2,3,2,2,1,1,2,2,2,2,3,3,3,3,3,3,3,3,3,6,1,1,3,4,2,2,2,2,2,2,2,2,1,1,2,2,2,2,5
P090009539,9,,,1960,1,1,5,3,1,2,3,0,0,0,0,2,2,2,6,5,4,4,2,1,3,2,2,1,4,3,3,3,4,4,4,6,1,3,2,5,5,5,3,4,1,1,1,1,2,2,2,3,3,3,3,3,3,3,3,3,4,4,7,3,3,2,3,1,2,2,2,1,2,2,1,1,1,2,2,2,2
P090009546,26,19820,,1957,1,1,4,1,1,2,2,0,0,0,0,2,2,2,6,5,4,4,1,2,1,2,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,2,5,3,3,1,5,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,2,1,3,3,3,2,2,2,2,1,1,2,2,2,2,5
P090009548,51,,,1954,1,1,4,5,2,2,3,1,1,0,0,6,2,2,6,5,3,4,2,3,3,2,1,1,1,1,2,2,3,5,5,7,1,1,2,5,5,5,3,4,2,1,2,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,7,3,2,4,1,1,3,1,2,2,2,2,1,1,2,2,2,2,5
P090009552,6,31080,,1962,1,1,6,1,1,2,3,0,0,0,0,4,2,1,4,10,3,3,1,1,1,1,1,1,2,1,1,1,4,4,4,6,1,2,2,5,5,5,3,5,4,4,1,5,2,2,1,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,2,2,2,2,2,1,1,2,2,2,2,5
P090009554,42,37980,,1986,1,1,6,1,1,2,2,0,0,0,0,7,2,1,2,10,3,3,1,1,1,1,1,1,3,3,1,2,4,4,4,6,1,1,2,5,5,5,5,4,1,1,1,1,1,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009555,26,,,1954,1,1,6,1,1,2,2,0,0,0,0,4,2,1,4,10,1,1,1,1,1,2,1,1,2,2,1,1,4,4,4,6,1,1,1,3,3,1,2,3,2,1,1,1,1,1,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009556,33,14460,,1990,1,1,4,1,1,3,4,2,2,0,0,6,2,1,3,10,1,1,1,1,1,2,1,2,4,3,2,2,3,5,5,7,1,1,1,3,1,2,3,4,1,1,1,1,2,2,2,3,1,2,1,1,2,2,1,2,2,2,7,3,1,3,1,2,3,2,2,2,2,2,1,1,2,2,2,2,5
P090009560,48,19100,,1972,1,3,6,2,1,2,3,2,1,0,0,4,2,2,6,2,4,4,1,1,1,1,1,1,2,1,1,2,2,1,1,2,1,3,2,5,5,5,2,3,2,1,3,4,2,2,2,2,2,2,2,2,2,2,2,2,1,2,7,3,4,4,2,2,1,1,2,2,2,2,1,1,1,2,2,1,3
P090009562,48,19100,,1966,1,2,3,3,1,2,1,0,0,0,0,1,1,2,6,4,4,4,1,1,3,2,2,1,2,2,3,3,4,4,4,6,1,3,2,5,5,5,3,3,2,1,4,5,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,2,3,1,2,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090009565,41,,,1977,1,1,7,1,2,2,2,0,0,0,0,8,2,1,1,10,3,4,1,1,1,1,1,1,2,1,2,2,4,4,4,6,1,2,2,5,5,5,3,3,3,3,1,5,1,1,2,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,3,3,2,2,2,2,2,1,1,2,2,2,2,5
P090009566,16,,,1980,1,1,4,1,2,4,3,1,0,1,0,7,2,1,2,10,3,3,1,1,1,1,1,1,1,1,1,1,3,5,5,7,2,4,2,5,5,5,2,3,3,2,4,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,2,3,1,2,2,2,2,1,1,2,2,2,2,5
P090009569,39,,,1984,1,1,6,5,1,2,3,0,0,0,0,5,2,1,4,10,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,1,2,4,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009571,24,,,1979,1,1,7,5,1,2,2,0,0,0,0,6,2,2,6,6,4,4,1,1,1,1,1,1,4,4,3,3,4,4,4,6,1,1,2,5,5,5,4,2,2,2,1,3,1,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,3,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009575,11,47900,,1960,1,2,7,5,2,2,2,0,0,0,0,5,2,2,6,6,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,4,4,2,4,4,1,2,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,3,1,1,2,2,2,2,1,2,2,2,2,2,5
P090009577,55,,,1956,1,1,6,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,2,1,1,1,2,1,1,1,4,4,4,6,1,1,1,2,2,3,1,5,2,2,1,5,1,2,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009587,29,,,1968,1,1,7,1,1,2,2,0,0,0,0,8,2,1,1,10,3,3,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,4,4,3,3,2,1,1,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009588,18,,,1974,1,1,3,3,2,2,2,0,0,0,0,3,1,2,6,9,4,4,1,1,1,1,1,1,1,1,1,2,4,4,4,6,1,3,2,5,5,5,1,4,4,4,3,5,1,2,2,2,3,3,3,3,3,3,3,3,3,5,1,1,3,4,2,1,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009589,35,,,1966,2,1,3,1,2,2,5,0,0,0,0,4,2,2,6,9,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,2,4,2,5,5,5,1,5,4,3,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,1,7,3,1,2,2,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090009590,49,,,1971,1,1,4,3,2,3,3,1,0,0,1,2,2,2,6,4,4,4,1,2,2,2,2,1,2,2,3,3,1,1,2,2,1,2,1,3,3,1,3,2,4,1,1,1,2,2,2,4,2,2,2,2,2,2,2,2,3,6,2,1,3,4,2,1,4,2,2,1,2,2,1,1,1,2,2,2,1
P090009594,35,,,1955,1,1,5,5,1,2,1,0,0,0,0,1,2,2,6,5,4,4,1,1,1,1,1,1,3,2,3,3,4,4,4,6,1,3,2,5,5,5,4,3,3,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,1,1,7,3,4,1,2,1,3,2,2,1,2,2,1,1,1,2,2,2,2
P090009608,6,31080,,1940,1,4,4,3,2,2,2,0,0,0,0,2,2,2,6,5,4,4,1,1,3,1,2,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,3,4,2,1,1,1,2,2,2,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009611,25,14460,,1974,1,1,4,5,2,2,1,0,0,0,0,1,2,2,6,4,4,4,1,1,2,2,2,1,2,2,4,4,4,4,4,6,1,3,1,4,3,1,5,1,1,1,1,1,2,2,2,4,3,3,3,3,3,3,3,3,3,6,1,1,3,1,1,1,4,2,2,1,2,2,1,1,1,2,2,2,2
P090009624,49,,,1943,1,1,4,1,2,2,3,0,0,0,0,4,2,2,6,5,4,4,2,2,1,2,1,1,1,1,1,1,4,4,4,6,1,1,1,3,3,3,2,3,4,2,4,3,1,2,2,2,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,3,1,1,2,2,2,1,1,2,2,2,2,5
P090009625,12,33100,,1965,2,1,5,1,2,2,4,0,0,0,0,6,2,1,2,10,3,3,2,1,1,1,1,1,2,2,2,2,4,4,4,6,1,2,1,3,3,1,2,3,4,3,4,5,1,2,1,3,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,2,1,2,2,2,2,1,1,2,2,2,2,5
P090009627,18,,,1973,1,1,6,3,1,3,2,0,0,0,0,5,1,2,6,9,4,4,1,1,1,2,1,1,3,2,2,1,4,4,4,6,2,4,2,5,5,5,3,4,2,1,1,1,2,2,1,2,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,1,2,3,2,2,2,2,1,1,2,2,2,2,5
P090009631,20,,,1970,1,1,4,1,2,2,2,0,0,0,0,5,2,2,6,9,4,4,2,1,3,3,1,1,1,1,1,2,4,4,4,6,2,4,2,5,5,5,1,5,4,4,4,1,2,2,2,1,3,3,3,3,3,3,3,3,2,2,7,3,1,4,1,2,4,3,2,2,2,2,1,1,2,2,2,2,5
P090009637,6,40140,,1965,1,1,7,1,2,2,1,0,0,0,0,5,2,2,6,5,4,4,1,1,3,2,1,1,1,1,1,1,4,4,4,6,1,3,1,4,2,2,2,5,4,2,4,5,2,2,2,3,3,3,3,3,3,3,3,3,2,2,7,3,2,4,1,2,4,1,2,2,2,2,1,1,2,2,2,2,5
P090009642,27,,,1951,1,1,5,1,1,2,2,0,0,0,0,5,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,3,3,1,1,1,2,1,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009645,24,47900,,1979,2,1,7,1,1,2,3,1,0,1,0,8,2,1,2,10,2,3,1,1,1,1,1,1,1,1,1,1,3,5,5,7,1,1,2,5,5,5,3,4,3,2,3,4,1,1,1,2,2,2,2,2,2,2,2,2,2,3,7,3,1,4,1,2,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009649,26,,,1956,1,1,4,3,2,2,1,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,2,2,5,5,5,2,5,4,2,1,3,1,2,1,1,3,3,3,3,3,3,3,3,3,2,3,1,3,4,2,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009653,41,,,1956,1,1,5,1,1,2,2,0,0,0,0,4,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,3,2,5,5,5,1,4,4,3,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,1,7,3,4,3,1,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009654,8,,,1938,1,1,3,1,1,2,2,0,0,0,0,6,2,2,6,5,4,4,1,1,1,1,1,1,1,1,1,1,4,4,4,6,1,1,2,5,5,5,1,5,2,1,1,1,2,2,2,1,3,3,3,3,3,3,3,3,1,2,7,3,4,4,3,1,1,1,2,2,2,2,1,1,2,2,2,2,5
P090009655,13,12060,,1986,2,2,4,5,1,2,4,1,1,0,0,4,2,2,6,4,4,4,1,1,3,3,2,1,4,3,3,2,3,5,5,7,2,4,2,5,5,5,5,1,1,1,1,1,2,2,1,3,2,2,2,2,2,2,2,2,2,2,7,3,1,4,1,1,1,2,2,2,2,2,1,1,2,2,2,2,5
